,change_in_infections,low_ci,high_ci,confidence_level
cyprus,110870.69999999995,110639.69999999995,111096.03333333333,0.95
cuba,99830.53333333333,99569.20000000007,100081.96666666667,0.95
georgia,103734.46666666667,103425.50000000012,104073.59999999998,0.95
united republic of tanzania,121592.09999999998,121260.8666666667,121913.73333333328,0.95
nicaragua,91044.1000000001,90823.16666666686,91257.13333333354,0.95
zambia,118300.80000000005,117937.53333333344,118662.5,0.95
cameroon,116106.36666666658,115801.09999999986,116403.96666666656,0.95
afghanistan,75353.3666666667,75150.56666666677,75557.70000000007,0.95
jordan,99703.23333333328,99431.43333333312,99989.46666666656,0.95
indonesia,102403.3666666667,102111.0,102678.70000000007,0.95
togo,120136.46666666656,119811.2999999997,120438.09999999974,0.95
nepal,100845.93333333335,100586.90000000002,101119.90000000014,0.95
ethiopia,118608.16666666663,118341.29999999993,118865.19999999995,0.95
malaysia,85787.2666666666,85601.06666666653,85976.59999999986,0.95
lesotho,126898.20000000007,126568.13333333342,127207.93333333347,0.95
martinique,126307.2666666666,125954.16666666651,126646.36666666646,0.95
chad,114346.0,114030.8666666667,114639.09999999998,0.95
burkina,107127.19999999995,106870.56666666653,107374.63333333319,0.95
nigeria,121184.0,120903.5,121490.40000000002,0.95
turkey,94607.96666666667,94366.0,94849.33333333337,0.95
philippines,103165.3666666667,102966.13333333342,103373.06666666677,0.95
réunion,124821.03333333344,124494.60000000021,125127.10000000021,0.95
gabon,121355.90000000002,121033.19999999995,121658.20000000007,0.95
australia,122985.2333333334,122676.90000000014,123286.96666666679,0.95
papua new guinea,94430.66666666663,94184.69999999995,94683.56666666665,0.95
czechia,120799.53333333333,120475.99999999988,121131.16666666674,0.95
luxembourg,118002.26666666672,117731.20000000007,118278.26666666672,0.95
suriname,101918.66666666663,101653.2666666666,102194.56666666665,0.95
liberia,113251.40000000002,112940.8666666667,113552.59999999998,0.95
senegal,71730.03333333333,71519.8999999999,71929.06666666665,0.95
china,96066.53333333333,95803.23333333328,96326.33333333326,0.95
poland,107372.16666666663,107178.09999999986,107568.6333333333,0.95
switzerland,125128.1000000001,124879.10000000021,125380.03333333356,0.95
sudan,101944.8666666667,101662.80000000005,102235.93333333335,0.95
bulgaria,121027.2333333334,120761.33333333349,121296.20000000019,0.95
rwanda,122562.23333333328,122252.59999999986,122883.56666666653,0.95
benin,113121.3666666667,112848.90000000002,113388.06666666677,0.95
thailand,88188.83333333337,87951.66666666674,88421.20000000007,0.95
trinidad and tobago,102704.40000000002,102415.1000000001,103003.76666666672,0.95
botswana,124163.93333333335,123836.90000000002,124504.1333333333,0.95
lithuania,124142.2666666666,123851.09999999986,124429.76666666649,0.95
sierra leone,98192.80000000005,97988.8666666667,98422.03333333344,0.95
india,89546.5,89282.30000000005,89804.86666666658,0.95
france,131848.7333333334,131442.40000000014,132254.56666666677,0.95
korea,108055.43333333323,107814.73333333316,108311.59999999974,0.95
chile,95946.06666666665,95747.03333333333,96161.7666666666,0.95
gambia,78884.93333333335,78678.66666666663,79089.26666666672,0.95
cambodia,98319.20000000007,98068.00000000012,98567.66666666674,0.95
state of palestine,100589.63333333342,100391.66666666686,100797.56666666688,0.95
new zealand,119437.2666666666,119157.46666666656,119721.63333333319,0.95
argentina,113817.16666666663,113565.79999999993,114080.13333333319,0.95
united kingdom,129006.6333333333,128692.03333333333,129329.43333333335,0.95
mali,114260.73333333328,114008.29999999993,114512.26666666649,0.95
mayotte,123797.80000000005,123426.53333333333,124180.20000000019,0.95
bangladesh,92787.8666666667,92506.1000000001,93044.33333333337,0.95
vietnam,98059.06666666665,97798.1333333333,98331.5,0.95
iraq,72743.93333333335,72567.03333333333,72926.93333333335,0.95
guyana,107922.90000000002,107655.8666666667,108191.80000000005,0.95
kenya,131822.73333333328,131518.36666666658,132117.29999999993,0.95
russia,118919.90000000002,118661.8666666667,119189.1000000001,0.95
kazakhstan,115608.76666666672,115277.06666666677,115956.56666666677,0.95
madagascar,112191.16666666674,111846.90000000014,112514.43333333347,0.95
malta,107571.66666666674,107341.80000000016,107815.03333333344,0.95
honduras,100402.63333333342,100121.56666666677,100690.26666666684,0.95
usa,122346.2666666666,122102.33333333326,122581.53333333321,0.95
canada,118952.3666666667,118616.8666666667,119274.06666666677,0.95
congo,125291.1333333333,124994.06666666665,125580.56666666665,0.95
zimbabwe,131430.40000000002,131121.59999999998,131740.76666666672,0.95
portugal,110031.53333333333,109805.56666666665,110254.59999999998,0.95
south korea,108194.26666666672,107946.50000000012,108450.53333333344,0.95
brazil,104008.19999999995,103718.93333333323,104290.23333333328,0.95
venezuela,95677.46666666667,95428.09999999998,95917.96666666667,0.95
republic of korea,108068.46666666667,107806.59999999998,108340.3666666667,0.95
el salvador,100803.1333333333,100566.36666666658,101050.53333333333,0.95
slovenia,117529.09999999998,117255.30000000005,117799.19999999995,0.95
peru,102038.5,101744.03333333333,102321.1333333333,0.95
kyrgyzstan,109223.1333333333,108921.0,109520.6333333333,0.95
niger,119891.90000000002,119617.43333333335,120161.80000000005,0.95
jamaica,115040.59999999998,114792.33333333337,115287.33333333337,0.95
south africa,117584.03333333333,117323.16666666674,117851.66666666663,0.95
uruguay,118679.29999999993,118291.29999999981,119068.96666666656,0.95
netherlands,127032.5,126793.80000000005,127277.7666666666,0.95
oman,46236.5,46098.833333333256,46368.766666666605,0.95
comoros,103405.23333333328,103115.76666666649,103703.36666666658,0.95
tajikistan,91918.59999999998,91650.66666666663,92188.86666666658,0.95
guadeloupe,129569.19999999995,129257.83333333326,129866.83333333314,0.95
romania,106444.7333333334,106201.16666666686,106693.83333333349,0.95
samoa,81089.69999999995,80849.33333333326,81342.96666666656,0.95
palestine,100641.73333333328,100374.06666666653,100900.93333333323,0.95
montenegro,102417.43333333335,102187.16666666663,102650.93333333335,0.95
republic of moldova,103647.06666666665,103306.59999999998,103969.30000000005,0.95
singapore,87931.69999999995,87729.86666666658,88129.2666666666,0.95
mozambique,131721.03333333333,131321.8666666667,132086.43333333335,0.95
yemen,85663.73333333328,85418.23333333316,85911.56666666653,0.95
azerbaijan,85629.63333333342,85332.43333333347,85915.60000000021,0.95
mongolia,103919.46666666667,103643.90000000002,104204.26666666672,0.95
guinea,99992.90000000002,99742.56666666677,100238.03333333344,0.95
guatemala,100909.96666666667,100645.30000000005,101170.30000000005,0.95
namibia,117198.13333333342,116907.26666666684,117497.43333333347,0.95
myanmar,94391.19999999995,94110.33333333326,94661.3999999999,0.95
dominican republic,113436.66666666663,113103.96666666656,113762.59999999998,0.95
ecuador,107497.33333333326,107263.73333333316,107733.26666666649,0.95
estonia,125579.8666666667,125334.26666666672,125836.93333333335,0.95
moldova,103755.43333333335,103473.93333333335,104038.1000000001,0.95
finland,134063.7333333334,133716.3666666668,134405.53333333344,0.95
ireland,118435.56666666665,118125.46666666667,118749.43333333323,0.95
norway,129052.63333333342,128725.56666666677,129394.06666666688,0.95
paraguay,94804.8666666667,94634.53333333333,94983.7333333334,0.95
panama,107954.7333333334,107636.16666666686,108272.16666666674,0.95
colombia,102012.6333333333,101773.99999999988,102247.03333333333,0.95
timor-leste,100824.83333333337,100531.50000000012,101126.1000000001,0.95
germany,130763.06666666665,130435.59999999998,131096.79999999993,0.95
armenia,99477.59999999998,99228.8666666667,99753.69999999995,0.95
burkina faso,106639.3666666667,106367.96666666679,106920.76666666672,0.95
uzbekistan,84898.56666666677,84653.60000000021,85137.56666666688,0.95
austria,122790.46666666667,122533.03333333333,123053.56666666665,0.95
pakistan,76914.2333333334,76711.46666666679,77119.96666666679,0.95
iran,106740.8666666667,106468.93333333347,107031.70000000007,0.95
french guiana,123493.09999999998,123189.43333333323,123809.29999999993,0.95
israel,124337.80000000005,124003.00000000012,124670.26666666684,0.95
sao tome and principe,135211.80000000005,134872.40000000014,135576.16666666674,0.95
russian federation,118760.1333333333,118483.36666666658,119059.19999999995,0.95
serbia,106510.09999999998,106257.56666666665,106760.83333333326,0.95
fiji,95247.03333333333,95024.73333333328,95479.96666666667,0.95
belgium,124751.09999999998,124449.96666666667,125048.53333333333,0.95
burundi,126117.80000000005,125848.93333333335,126384.20000000007,0.95
mauritius,92816.79999999993,92544.26666666649,93103.49999999977,0.95
latvia,117746.79999999993,117424.99999999977,118055.56666666653,0.95
ghana,132825.5,132519.20000000007,133134.3666666667,0.95
mexico,104437.1333333333,104178.63333333319,104685.09999999998,0.95
tanzania,121424.6333333333,121137.96666666667,121701.7666666666,0.95
maldives,65794.70000000007,65623.63333333342,65962.26666666672,0.95
belarus,119134.53333333344,118843.50000000023,119411.53333333356,0.95
slovakia,107631.43333333335,107360.1000000001,107887.20000000007,0.95
haiti,107397.83333333337,107115.40000000002,107691.50000000012,0.95
hungary,112274.33333333337,112046.26666666672,112523.13333333342,0.95
albania,99700.20000000007,99495.03333333344,99893.86666666681,0.95
greece,116885.33333333337,116551.06666666677,117223.53333333344,0.95
aruba,107611.40000000002,107332.3666666667,107881.6000000001,0.95
costa rica,101036.66666666663,100812.73333333328,101271.86666666658,0.95
italy,117476.3666666667,117265.96666666667,117686.1333333333,0.95
ukraine,117557.59999999998,117253.99999999988,117852.33333333326,0.95
egypt,114365.43333333335,114093.96666666667,114622.7333333334,0.95
seychelles,98965.80000000005,98720.66666666674,99209.2333333334,0.95
bahamas,102236.69999999995,101990.46666666656,102478.06666666653,0.95
bolivia,119022.83333333337,118723.7333333334,119328.40000000002,0.95
puerto rico,112422.90000000002,112172.7333333334,112637.66666666674,0.95
japan,122271.40000000002,121971.69999999995,122558.16666666674,0.95
uganda,132475.53333333333,132068.30000000005,132870.96666666667,0.95
central african republic,119845.30000000005,119558.76666666684,120164.16666666686,0.95
angola,128868.2666666666,128525.03333333321,129222.93333333312,0.95
morocco,81693.43333333335,81495.20000000007,81887.1000000001,0.95
south sudan,100353.83333333337,100119.06666666665,100596.43333333347,0.95
croatia,107723.23333333328,107468.36666666658,108003.63333333319,0.95
spain,109812.0,109576.7333333334,110078.70000000007,0.95
malawi,125370.66666666663,125069.99999999988,125666.29999999993,0.95
